returns,signed_log_returns
-5.3726,-1.8520075495734118
-1.06413,-0.7247088301320003
-13.1743,-2.6514304656784
-8.03934,-2.2015861628892517
-6.26601,-1.9832073100711156
-6.8393,-2.059149544661824
-10.4466,-2.4376927426724366
-19.6828,-3.0293024369933224
41.9394,3.759789819367451
-8.38411,-2.239017833362608
-18.3003,-2.960120639831483
31.7594,3.4891899437988316
55.7362,4.038412454984287
-15.1519,-2.7820376898076162
-6.4419,-2.0071261925860986
2.85885,1.3503692116263968
30.7662,3.4584028314329345
-19.2333,-3.007329761949528
62.6582,4.153528146242131
15.3349,2.7933039232099914
-7.3427,-2.1213869049850373
-5.40766,-1.8574941496817425
-12.2294,-2.5824416256245324
-12.7514,-2.6211406371112793
-10.2649,-2.421691696791988
-2.07653,-1.1238023384916733
-8.22524,-2.2219432058483366
-7.64769,-2.1572922332559252
6.11968,1.9628627805936558
-19.9411,-3.0417137351037535
13.0129,2.6399783339319747
-18.1971,-2.954759225959128
-13.924,-2.7029706553589112
-8.43251,-2.244162233020092
-5.92662,-1.935371959732923
-13.4764,-2.6725197372622667
-18.8196,-2.986671347063478
-14.5734,-2.745564330664617
-13.8677,-2.6991910746688856
-4.71143,-1.7424694301419719
-10.0741,-2.4046090485207405
-11.3852,-2.516502211377751
11.067,2.490474454091464
-12.3439,-2.5910593515835147
25.6001,3.2809149751790834
-2.98795,-1.383277314408157
15.5397,2.8057635515834103
-11.0368,-2.48796862382382
-9.52915,-2.35414760114032
-13.0704,-2.644073300004354
15.1438,2.7815360750310463
-2.08083,-1.1251990412016104
-14.3645,-2.732059653562562
-13.3199,-2.661650178267893
1.51613,0.9227220068197561
17.8195,2.934893566322909
-13.7869,-2.6937416536715197
29.7292,3.4252133426112037
-10.3726,-2.4312069535647125
-9.4306,-2.3447437937243545
-4.48015,-1.7011324728480843
-12.6226,-2.6117301782446494
-17.0878,-2.8952376778601385
-7.73867,-2.1677580041747757
31.4069,3.4783713630878537
35.0693,3.5854420880179583
4.48136,1.7013532453520395
-3.54157,-1.5132727672510122
-3.91497,-1.592285649816514
3.49975,1.5040218396774516
61.9088,4.141686058531151
-6.9713,-2.0758475911696195
35.9139,3.6085881738821346
51.5302,3.9613882423068043
18.5142,2.9711424056851996
-16.1258,-2.8405860983856295
-8.99326,-2.3019108657539333
-6.01333,-1.9478126239161153
-9.81571,-2.380999706810979
51.8994,3.9683919966449217
-3.20693,-1.436733165534847
-8.71245,-2.273408567675367
53.7413,4.0026184519604255
-14.3501,-2.7311219886699662
-14.4395,-2.7369291606525867
38.7221,3.681907707870032
-13.0806,-2.6447979634583247
-7.00767,-2.0803998323726054
-17.0386,-2.892513906301521
62.4108,4.149634193938931
-2.07972,-1.124838683762092
-1.19552,-0.7864189205203889
10.0178,2.399512146771052
-15.5376,-2.8056365762859814
30.7507,3.457914772339758
33.4563,3.5396918544703486
23.347,3.19240863865303
-6.87415,-2.0635852423781964
-2.0242,-1.1066465936964318
-16.5992,-2.8678534464655625
36.288,3.6186715590704397
-4.53593,-1.7112595737267553
-18.6332,-2.977222010794894
13.5482,2.677467274624416
-6.05427,-1.9536331072367197
-4.52003,-1.7083832950568443
-2.74996,-1.3217451732587635
2.5938,1.2792101385102164
-8.53579,-2.25505208826843
25.0912,3.2615980927248756
-4.28298,-1.6644903324472067
-1.66082,-0.9786343459646571
-3.14639,-1.4222380761597937
-5.5781,-1.8837459498404283
-7.47122,-2.136674536071919
-2.39568,-1.222504035505194
-9.52978,-2.3542074332400698
-12.6753,-2.6155912859101926
-4.02021,-1.6134717654979986
-15.9336,-2.8292998138238237
-16.36,-2.854168709232204
29.5995,3.420983668955557
-1.70351,-0.9945509287419034
-11.3043,-2.5099487947807386
-5.06771,-1.8029812686500932
-9.49546,-2.350942782707499
-12.2011,-2.5803001594536292
-5.62979,-1.891573129487988
23.5046,3.198860855028939
-8.16769,-2.2156853461371773
-5.05769,-1.8013285392917522
-6.69141,-2.04010412171658
-17.3872,-2.911654770362779
-15.583,-2.8083780742319617
-3.09615,-1.4100475081604207
-14.8281,-2.761786841420834
-15.5993,-2.809360525798675
-16.0912,-2.838563711163314
-12.66,-2.614471854142644
0.596974,0.46811058857435994
-9.58609,-2.359540875194479
-13.6761,-2.686220320315556
-17.0484,-2.8930570381906175
-2.7876,-1.331732573127208
1.68938,0.9893106837770211
-0.863434,-0.6224210220843207
-7.38284,-2.126186759227602
8.82325,2.2847520248422537
-2.93631,-1.37024373625119
-1.08436,-0.7344618536941582
-7.64323,-2.1567763555468256
-8.5547,-2.2570331800250805
-7.74966,-2.1690148424717077
-15.4197,-2.7984818334554276
-7.00535,-2.080110068166199
-4.11787,-1.632738336867909
29.676,3.4234805899026126
-17.3842,-2.911491600072463
-18.3831,-2.9644015523909184
-5.24259,-1.8313951603686238
-11.9102,-2.558017696605323
13.3591,2.6643838875612675
-15.2971,-2.7909871778736943
-6.15663,-1.968039199781416
-6.21318,-1.9759099081526312
