Zero_Return_Penalty_Param,Return Mean,Neg_Return_Penalty_Param,Return Variance
0,-0.00258866,62,0.00200365
0,0.0011482,63,0.0295404
0,-0.0096753,64,0.0445051
0,0,65,0
0,-0.0163883,66,0.0246493
0,0,67,0
0,-0.00268416,68,0.043301
0,0.00127429,69,0.000485518
0,0,70,0
0,0.00243631,71,0.0529383
0,-0.00497706,72,0.0100098
0,0.00372227,73,0.00849707
0,-0.0113159,74,0.033005
0,0.00805004,75,0.0193761
0,-0.00893892,76,0.0295
0,0.00190262,77,0.00829961
0,0.00581614,78,0.0101144
0,0,79,0
0,0.0144004,80,0.0310679
0,0,81,0
0,0.0126195,82,0.0253543
0,0.0186569,83,0.0604826
0,-0.0212071,84,0.140975
0,0.0101096,85,0.0269266
0,-0.00457909,86,0.00626944
0,0.0149523,87,0.0295118
0,0,88,0
0,-0.00543259,89,0.0437311
0,0.00177285,90,0.0255429
0,-0.0001813,91,0.0104926
0,-0.00912646,92,0.0249044
0,0.0138304,93,0.056004
0,-0.00887819,94,0.0235679
0,-0.00583678,95,0.0431824
0,-0.0118718,96,0.0421409
0,0,97,0
0,0.00789445,98,0.0186344
0,0,99,0
0,-0.0114902,100,0.0546112
1,-0.0115295,0,0.039746
1,-0.00822376,1,0.0396142
1,-0.0059177,2,0.00356633
1,0.00977436,3,0.0488229
1,0.00156778,4,0.0609766
1,0.00223661,5,0.0215713
1,-0.0018668,6,0.000921804
1,0.00427487,7,0.00546408
1,0.0112671,8,0.0425612
1,-0.0137042,9,0.0424579
1,0.00904913,10,0.0278515
1,0.0072435,11,0.00795668
1,0,12,0
1,-0.00100895,13,0.00252014
1,-0.000369538,14,4.08309e-05
1,-0.00283072,15,0.00239588
1,0.022607,16,0.0762344
1,0.0144246,17,0.100262
1,0.0204928,18,0.0480826
1,-0.0137974,19,0.034435
1,-0.00969111,20,0.0280814
1,0.00391923,21,0.00459274
1,-0.0112495,22,0.0313353
1,-0.00264327,23,0.00757233
1,-0.0172934,24,0.0484703
1,0.00379438,25,0.0167773
1,-0.00997054,26,0.0297241
1,-0.00734659,27,0.0161377
1,-0.00110047,28,0.000362097
1,0,29,0
1,0.0128222,30,0.0275147
1,-0.00822161,31,0.0190869
1,-0.0312203,32,0.12526
1,-0.00418251,33,0.00523052
1,-0.184921,34,11.4945
1,0.42197,35,13.5465
1,0.393283,36,12.5944
1,-0.0196401,37,0.0567543
1,0.00513329,38,0.0769033
1,0.015005,39,0.081739
1,-0.0259737,40,0.0555285
1,-0.0741232,41,0.295809
1,0.0100613,42,0.271827
1,-0.0367222,43,0.30723
